TOTALS: 252 of 252,Registered voters,Ballots Cast,Turnout,Joseph R. Biden w/ Kamala D. Harris,Donald J. Trump w/ Michael R. Pence,Jo Jorgensen w/ Jeremy Cohen,Don Blankenship w/ William Mohr,Howie Hawkins w/ Angela Walker,Rocky De La Fuente w/ Darcy Richardson,Total write-in
Lowell Charter Township Precinct 1,"2,604","2,080",79.88%,757,"1,256",37,5,5,1,9
Lowell Charter Township Precinct 2,"2,521","1,869",74.14%,841,964,40,4,4,2,8
Lowell City Precinct 1,"1,686","1,223",72.54%,588,589,26,2,7,3,3
Lowell City Precinct 2,"1,538",997,64.82%,411,555,18,3,3,0,5
Nelson Township Precinct 1,"2,082","1,451",69.69%,417,999,25,3,1,1,2
Nelson Township Precinct 2,"1,772","1,363",76.92%,420,904,27,3,1,1,0
Oakfield Township Precinct 1,"1,633","1,266",77.53%,453,791,14,1,1,0,2
Oakfield Township Precinct 2,"1,968","1,426",72.46%,463,933,23,1,1,0,1
Oakfield Township Precinct 3,"1,456","1,094",75.14%,388,680,17,0,2,0,0
Plainfield Charter Township Precinct 1,"2,804","2,358",84.09%,998,"1,298",31,2,3,2,10
Plainfield Charter Township Precinct 2,"2,556","2,023",79.15%,808,"1,165",32,2,4,0,4
Plainfield Charter Township Precinct 3,"2,208","1,498",67.84%,741,710,35,2,5,3,1
Plainfield Charter Township Precinct 4,"2,461","1,814",73.71%,936,828,31,0,6,1,4
Plainfield Charter Township Precinct 5,"2,238","1,737",77.61%,820,867,30,5,6,3,3
Plainfield Charter Township Precinct 6,"3,310","2,627",79.37%,"1,059","1,504",33,7,3,0,8
Plainfield Charter Township Precinct 7,"3,016","2,448",81.17%,"1,142","1,255",17,1,9,3,7
Plainfield Charter Township Precinct 8,"2,948","2,276",77.2%,"1,125","1,089",43,2,7,0,2
Plainfield Charter Township Precinct 9,"2,676","2,090",78.1%,903,"1,140",21,5,3,3,3
Plainfield Charter Township Precinct 10,"1,886","1,604",85.05%,686,872,26,1,4,1,8
Plainfield Charter Township Precinct 11,"1,836","1,560",84.97%,681,827,25,1,2,0,14
Rockford City Precinct 1,"1,984","1,510",76.11%,755,718,20,3,4,2,2
Rockford City Precinct 2,"2,718","2,269",83.48%,"1,159","1,052",33,2,4,1,9
Solon Township Precinct 1,"2,005","1,485",74.06%,469,994,13,3,0,0,0
Solon Township Precinct 2,"3,053","2,232",73.11%,666,"1,501",46,4,8,2,1
Sparta Township Precinct 1,"3,274","2,236",68.3%,896,"1,265",39,6,6,3,10
Sparta Township Precinct 2,"1,713","1,271",74.2%,362,873,17,3,5,0,3
Sparta Township Precinct 3,"2,145","1,569",73.15%,512,"1,026",17,2,3,1,5
Spencer Township Precinct 1,"2,010","1,540",76.62%,455,"1,051",20,0,4,0,3
Spencer Township Precinct 2,"1,376","1,054",76.6%,259,779,7,3,3,0,2
Tyrone Township Precinct 1,"1,932","1,429",73.96%,365,"1,031",17,3,5,0,2
Tyrone Township Precinct 2,"1,700","1,129",66.41%,303,793,23,5,3,0,1
Vergennes Township Precinct 1,"2,008","1,762",87.75%,619,"1,100",25,4,3,3,3
Vergennes Township Precinct 2,"1,728","1,458",84.38%,559,858,23,2,5,0,7
Walker City Ward 1 Precinct 1,"2,259","1,379",61.04%,800,545,16,2,8,3,1
Walker City Ward 1 Precinct 2,"1,835","1,419",77.33%,647,734,24,1,1,3,3
Walker City Ward 1 Precinct 3,"2,158","1,612",74.7%,800,777,23,2,6,0,1
Walker City Ward 2 Precinct 4,"2,488","1,995",80.18%,834,"1,109",35,1,4,0,4
Walker City Ward 2 Precinct 5,"2,039","1,661",81.46%,697,917,24,5,6,2,4
Walker City Ward 2 Precinct 6,"2,044","1,524",74.56%,662,829,11,3,6,1,4
Walker City Ward 3 Precinct 7,"2,149","1,709",79.53%,771,876,28,5,3,0,13
Walker City Ward 3 Precinct 8,"2,017","1,672",82.9%,597,"1,027",36,3,2,0,4
Walker City Ward 3 Precinct 9,"2,154","1,655",76.83%,781,828,30,2,5,1,2
Wyoming City Ward 1 Precinct 1,"1,955","1,216",62.2%,706,483,17,1,6,1,0
Wyoming City Ward 1 Precinct 2,"1,408",722,51.28%,415,284,17,1,1,0,2
Wyoming City Ward 1 Precinct 3,"2,310","1,321",57.19%,777,517,12,4,2,4,4
Wyoming City Ward 1 Precinct 4,"2,146","1,503",70.04%,754,715,19,2,3,0,7
Wyoming City Ward 1 Precinct 5,"2,255","1,435",63.64%,827,567,21,3,7,1,8
Wyoming City Ward 1 Precinct 6,"1,712","1,016",59.35%,557,435,17,1,2,2,1
Wyoming City Ward 1 Precinct 7,"2,094","1,497",71.49%,679,782,15,1,5,2,8
Wyoming City Ward 1 Precinct 8,"1,383",787,56.91%,407,346,19,1,4,0,6
Wyoming City Ward 1 Precinct 9,"2,506","1,400",55.87%,826,532,28,2,4,1,3
Wyoming City Ward 2 Precinct 10,"1,715",984,57.38%,610,342,14,1,5,1,3
Wyoming City Ward 2 Precinct 11,"1,589",856,53.87%,593,233,17,0,4,3,4
