Round 1,,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,
Still black (out of 60),Shaky black (out of 60),Still red (out of 60),Shaky red (out of 60),Still red (out of 60),Shaky black (out of 60),Still black (out of 60),Shaky red (out of 60),Still black (out of 60),Still red (out of 60),Shaky black (out of 60),Shaky red (out of 60)
