Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Art Bunte,1956,8,60,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Duggins,1951,6,51,,,,,,,,,,,,,,,,,,,,,,,,,
George Fisher,1966,6,51,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Jonas,1977,4,86,,,,,,,,,,,,,,,,,,,,,,,,,
Milt Kane,1958,8,60,,,,,,,,,,,,,,,,,,,,,,,,,
Coby Leavitt,"1979, 1980","9, 6","180, 134",,,,,,,,,,,,,,,,,,,,,,,,,
Buster Matheney,1978,2,28,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Medley,1974,5,79,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Moon,1964,13,96,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Ockel,1968,3,24,,,,,,,,,,,,,,,,,,,,,,,,,
Walt Simon,1968,12,149,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Smith,1952,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Soderberg,1972,12,172,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Terry,1976,8,124,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Williams,1983,7,145,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Wilson,1993,2,54,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Winans,1984,8,177,,,,,,,,,,,,,,,,,,,,,,,,,
