Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Jack Butcher,1957,10,75,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Cook,1976,3,49,,,,,,,,,,,,,,,,,,,,,,,,,
James Douglas,1971,16,226,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Dozier,2009,2,60,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Faggi,1982,8,179,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Haynes,1984,6,121,,,,,,,,,,,,,,,,,,,,,,,,,
Marion Hillard,1976,4,65,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hockaday,1959,3,19,,,,,,,,,,,,,,,,,,,,,,,,,
Don Holcomb,1972,6,94,,,,,,,,,,,,,,,,,,,,,,,,,
Baskerville Holmes,1986,3,68,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Isbell,1981,5,100,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Jackson,1982,8,174,,,,,,,,,,,,,,,,,,,,,,,,,
George Kirk,1964,5,44,,,,,,,,,,,,,,,,,,,,,,,,,
Lowery Kirk,1961,4,34,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Lee,1979,8,150,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Neumann,1964,10,85,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Parks,1984,3,58,,,,,,,,,,,,,,,,,,,,,,,,,
George Price,1960,8,58,,,,,,,,,,,,,,,,,,,,,,,,,
John Wallisa,1952,17,,,,,,,,,,,,,,,,,,,,,,,,,,
