Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Sasha Kaun,2008,2,56,2016,2016,25.0,95.0,9.0,17.0,0.0,0.0,5.0,11.0,12.0,26.0,3.0,4.0,5.0,7.0,11.0,23.0,.529,,.455,3.8,0.9,1.0,0.1
Dave Magley,1982,2,28,1983,1983,14.0,56.0,4.0,16.0,0.0,1.0,4.0,8.0,2.0,10.0,2.0,2.0,0.0,2.0,5.0,12.0,.250,.000,.500,4.0,0.9,0.7,0.1
Adonis Jordan,1993,2,42,1994,1999,10.0,97.0,8.0,27.0,3.0,12.0,2.0,4.0,3.0,6.0,22.0,3.0,1.0,8.0,6.0,21.0,.296,.250,.500,9.7,2.1,0.6,2.2
Brian Martin,1984,9,185,1986,1986,8.0,21.0,3.0,7.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,7.0,6.0,.429,,.000,2.6,0.8,0.5,0.0
Ryan Robertson,1999,2,45,2000,2000,1.0,25.0,2.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,.333,.000,1.000,25.0,5.0,0.0,0.0
Rodger Bohnenstiehl,1968,9,114,,,,,,,,,,,,,,,,,,,,,,,,,
B. H. Born,1954,3,22,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Carroll,1980,10,211,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Chenowith,2001,2,43,,,,,,,,,,,,,,,,,,,,,,,,,
John Crawford,1981,7,160,,,,,,,,,,,,,,,,,,,,,,,,,
Gradey Dick,2023,1,13,,,,,,,,,,,,,,,,,,,,,,,,,
Nolen Ellison,1963,4,29,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Evans,1947,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Guy,1982,2,46,,,,,,,,,,,,,,,,,,,,,,,,,
Art Housey,1981,3,47,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Kelley,1954,7,56,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Kelley,1953,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Kellogg,1986,2,42,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Knight,1984,9,199,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Koenigs,1978,5,99,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Loneski,1959,10,73,,,,,,,,,,,,,,,,,,,,,,,,,
Al Lopes,1966,13,103,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Marshall,1988,3,75,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Morningstar,1975,8,144,,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey Nash,1972,14,184,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Nash,1969,4,48,,,,,,,,,,,,,,,,,,,,,,,,,
Herb Nobles,1977,6,124,,,,,,,,,,,,,,,,,,,,,,,,,
Gil Reich,1953,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Sloan,1969,11,154,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Suttle,1975,7,110,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Thompson,1986,4,71,,,,,,,,,,,,,,,,,,,,,,,,,
George Unseld,1965,8,71,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Wilson,2023,2,51,,,,,,,,,,,,,,,,,,,,,,,,,
