Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Nikita Wilson,1987,2,30,1988,1988,15.0,54.0,7.0,23.0,0.0,0.0,5.0,6.0,2.0,11.0,3.0,0.0,0.0,5.0,7.0,19.0,.304,,.833,3.6,1.3,0.7,0.2
Geert Hammink,1993,1,26,1994,1996,8.0,27.0,4.0,10.0,0.0,0.0,6.0,9.0,3.0,7.0,2.0,0.0,0.0,2.0,4.0,14.0,.400,,.667,3.4,1.8,0.9,0.3
Al Sanders,1972,4,56,1973,1973,4.0,25.0,2.0,2.0,0.0,0.0,4.0,6.0,0.0,5.0,0.0,,,3.0,4.0,8.0,1.000,,.667,6.3,2.0,1.3,0.0
Ricky Blanton,1989,2,46,1993,1993,2.0,13.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,6.0,.429,,,6.5,3.0,1.5,0.5
Don Belcher,1955,8,63,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Coleman,1948,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Cook,1981,2,40,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Davies,1960,11,79,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Dean,1952,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
Al Green,1979,3,64,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Green,1979,4,80,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Henderson,1996,2,55,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Isley,1971,17,230,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Lowther,1948,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Maile,1965,11,88,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Martin,1981,4,74,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Mattick,1980,6,121,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Mitchell,1984,3,60,,,,,,,,,,,,,,,,,,,,,,,,,
Hernán Montenegro,1988,3,57,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Palubinskas,1974,4,61,,,,,,,,,,,,,,,,,,,,,,,,,
Don Redden,1986,3,64,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Sims,1981,5,101,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Taylor,1986,4,72,,,,,,,,,,,,,,,,,,,,,,,,,
John Tudor,1984,9,198,,,,,,,,,,,,,,,,,,,,,,,,,
José Vargas,1988,2,49,,,,,,,,,,,,,,,,,,,,,,,,,
Butch Webster,1971,12,184,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Wilson,1987,5,102,,,,,,,,,,,,,,,,,,,,,,,,,
