Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Walter McCarty,1996,1,19,1997,2006,593.0,10374.0,1092.0,2786.0,456.0,1318.0,416.0,596.0,410.0,1554.0,670.0,380.0,173.0,520.0,1211.0,3056.0,.392,.346,.698,17.5,5.2,2.6,1.1
Kyle Macy,1979,1,22,1981,1987,551.0,14246.0,2175.0,4339.0,192.0,569.0,717.0,821.0,311.0,1214.0,2198.0,631.0,49.0,712.0,1081.0,5259.0,.501,.337,.873,25.9,9.5,2.2,4.0
Tony Delk,1996,1,16,1997,2006,545.0,11702.0,1874.0,4593.0,472.0,1376.0,737.0,958.0,349.0,1351.0,1024.0,447.0,77.0,573.0,862.0,4957.0,.408,.343,.769,21.5,9.1,2.5,1.9
Jodie Meeks,2009,2,41,2010,2019,539.0,12110.0,1665.0,3969.0,775.0,2078.0,883.0,1004.0,148.0,1120.0,583.0,413.0,36.0,410.0,632.0,4988.0,.420,.373,.879,22.5,9.3,2.1,1.1
Devin Booker,2015,1,13,2016,2023,530.0,17907.0,4453.0,9665.0,1089.0,3055.0,2693.0,3102.0,292.0,2105.0,2521.0,449.0,146.0,1637.0,1568.0,12688.0,.461,.356,.868,33.8,23.9,4.0,4.8
Pat Riley *,1967,1,7,1968,1976,528.0,8187.0,1619.0,3914.0,,,668.0,948.0,79.0,855.0,913.0,112.0,13.0,,1152.0,3906.0,.414,,.705,15.5,7.4,1.6,1.7
Trey Lyles,2015,1,12,2016,2023,523.0,9464.0,1472.0,3323.0,481.0,1407.0,640.0,855.0,443.0,2253.0,543.0,202.0,187.0,440.0,746.0,4065.0,.443,.342,.749,18.1,7.8,4.3,1.0
Sam Bowie,1984,1,2,1985,1995,511.0,14098.0,2127.0,4702.0,32.0,106.0,1278.0,1708.0,1192.0,3845.0,1075.0,263.0,909.0,978.0,1553.0,5564.0,.452,.302,.748,27.6,10.9,7.5,2.1
Karl-Anthony Towns,2015,1,1,2016,2023,511.0,17429.0,4342.0,8258.0,839.0,2125.0,2249.0,2694.0,1496.0,5701.0,1626.0,409.0,680.0,1376.0,1744.0,11772.0,.526,.395,.835,34.1,23.0,11.2,3.2
Rick Robey,1978,1,3,1979,1986,493.0,8824.0,1498.0,2993.0,1.0,8.0,726.0,1117.0,825.0,2301.0,611.0,220.0,90.0,771.0,1213.0,3723.0,.501,,.650,17.9,7.6,4.7,1.2
