Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Ed Koffenberger,1947,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Lind,1969,11,142,,,,,,,,,,,,,,,,,,,,,,,,,
Dereck Lively II,2023,1,12,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Mayer,1956,4,28,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Meagher,1985,6,126,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Meek,1995,2,41,,,,,,,,,,,,,,,,,,,,,,,,,
Dariq Whitehead,2023,1,22,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Morgan,1956,14,90,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Newcome,1958,14,85,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Saunders,1971,11,177,,,,,,,,,,,,,,,,,,,,,,,,,
Haskell Tison,1965,6,56,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Vandenberg,1969,7,89,,,,,,,,,,,,,,,,,,,,,,,,,
