district,candidate,party,total_votes,won
Kentucky’s 1st district, Write-ins,WRI,15,False
Kentucky’s 2nd district,Brett Guthrie,REP,255728,True
Kentucky’s 2nd district,Hank Linderman,DEM,94638,False
Kentucky’s 2nd district,Robert Perry,LIB,7588,False
Kentucky’s 2nd district,Lewis Carter,POP,2431,False
Kentucky’s 2nd district, Write-ins,WRI,3,False
Kentucky’s 3rd district,John Yarmuth,DEM,230603,True
Kentucky’s 3rd district,Rhonda Palazzo,REP,137396,False
Kentucky’s 4th district,Thomas Massie,REP,256599,True
Kentucky’s 4th district,Alexandra Owensby,DEM,125881,False
Kentucky’s 4th district, Write-ins,WRI,0,False
Kentucky’s 5th district,Hal Rogers,REP,250652,True
Kentucky’s 5th district,Matthew Best,DEM,47798,False
Kentucky’s 5th district, Write-ins,WRI,20,False
Kentucky’s 6th district,Andy Barr,REP,216927,True
Kentucky’s 6th district,Josh Hicks,DEM,154973,False
Kentucky’s 6th district,Frank Harris,LIB,6488,False
Kentucky’s 6th district, Write-ins,WRI,4,False
Louisiana’s 1st district,Steve Scalise,REP,270330,True
Louisiana’s 1st district,Lee Ann Dugas,DEM,94730,False
Louisiana’s 1st district,Howard Kearney,LIB,9309,False
Louisiana’s 2nd district,Cedric Richmond,DEM,201636,True
Louisiana’s 2nd district,David Schilling,REP,47575,False
Louisiana’s 2nd district,Glenn Harris,DEM,33684,False
Louisiana’s 2nd district,Sheldon Vincent,REP,15565,False
Louisiana’s 2nd district,Belden Batiste,IND,12268,False
Louisiana’s 2nd district,Colby James,IND,6254,False
Louisiana’s 3rd district,Clay Higgins,REP,230480,True
Louisiana’s 3rd district,Braylon Harris,DEM,60852,False
Louisiana’s 3rd district,Rob Anderson,DEM,39423,False
Louisiana’s 3rd district,Brandon Leleux,LIB,9365,False
Louisiana’s 4th district,Mike Johnson,REP,185265,True
Louisiana’s 4th district,Kenny Houston,DEM,78157,False
Louisiana’s 4th district,Ryan Trundle,DEM,23813,False
Louisiana’s 4th district,Ben Gibson,REP,19343,False
Louisiana’s 5th district,Luke Letlow,REP,102533,True
Louisiana’s 5th district,Lance Harris,REP,51240,False
Louisiana’s 5th district,Candy Christophe,DEM,50812,False
Louisiana’s 5th district,Martin Lemelle,DEM,32186,False
Louisiana’s 5th district,Scotty Robinson,REP,23887,False
Louisiana’s 5th district,Allen Guillory,REP,22496,False
Louisiana’s 5th district,Matt Hasty,REP,9834,False
Louisiana’s 5th district,Phillip Snowden,DEM,9432,False
Louisiana’s 5th district,Jesse Lagarde,DEM,7136,False
Louisiana’s 6th district,Garret Graves,REP,265706,True
Louisiana’s 6th district,Dartanyon Williams,DEM,95541,False
Louisiana’s 6th district,Shannon Sloan,LIB,9732,False
Louisiana’s 6th district,Richard Torregano,NPA,3017,False
Maine’s 1st district,Chellie Pingree,DEM,211905,True
Maine’s 1st district,Jay Allen,REP,139529,False
Maine’s 1st district, Write-ins,WRI,800,False
Maine’s 2nd district,Jared Golden,DEM,174455,True
Maine’s 2nd district,Dale Crafts,REP,150084,False
Maine’s 2nd district, Write-ins,WRI,1331,False
Maryland’s 1st district,Andy Harris,REP,237681,True
Maryland’s 1st district,Mia Mason,DEM,130265,False
Maryland’s 2nd district,Dutch Ruppersberger,DEM,194961,True
Maryland’s 2nd district,Johnny Salling,REP,97583,False
Maryland’s 3rd district,John Sarbanes,DEM,233996,True
Maryland’s 3rd district,Charles Anthony,REP,104036,False
Maryland’s 4th district,Anthony Brown,DEM,266490,True
Maryland’s 4th district,George McDermott,REP,69232,False
Maryland’s 5th district,Steny Hoyer,DEM,258724,True
Maryland’s 5th district,Chris Palombi,REP,119642,False
Maryland’s 6th district,David Trone,DEM,181089,True
Maryland’s 6th district,Neil Parrott,REP,131918,False
Maryland’s 6th district,George Gluck,GRN,5653,False
Maryland’s 7th district,Kweisi Mfume,DEM,216931,True
Maryland’s 7th district,Kimberly Klacik,REP,85419,False
Maryland’s 7th district, Write-ins,WRI,74,False
Maryland’s 8th district,Jamie Raskin,DEM,228490,True
Maryland’s 8th district,Gregory Coll,REP,116127,False
Massachusetts’s 1st district,Richard Neal,DEM,245809,True
Massachusetts’s 1st district, Write-ins,WRI,9713,False
Massachusetts’s 2nd district,Jim McGovern,DEM,247232,True
Massachusetts’s 2nd district,Tracy Lovvorn,REP,124460,False
Massachusetts’s 2nd district, Write-ins,WRI,538,False
Massachusetts’s 3rd district,Lori Trahan,DEM,245840,True
Massachusetts’s 3rd district, Write-ins,WRI,7462,False
Massachusetts’s 4th district,Jake Auchincloss,DEM,214977,True
Massachusetts’s 4th district,Julie Hall,REP,147243,False
Massachusetts’s 4th district, Write-ins,WRI,1690,False
Massachusetts’s 5th district,Katherine Clark,DEM,275104,True
Massachusetts’s 5th district,Caroline Colarusso,REP,96783,False
Massachusetts’s 5th district, Write-ins,WRI,1783,False
Massachusetts’s 6th district,Seth Moulton,DEM,265686,True
Massachusetts’s 6th district,John Moran,REP,138614,False
Massachusetts’s 6th district, Write-ins,WRI,674,False
Massachusetts’s 7th district,Ayanna Pressley,DEM,128137,True
Massachusetts’s 7th district,Roy Owens,IND,20808,False
Massachusetts’s 7th district, Write-ins,WRI,1259,False
Massachusetts’s 8th district,Stephen Lynch,DEM,208037,True
Massachusetts’s 8th district,Jonathan Lott,IND,51925,False
Massachusetts’s 8th district, Write-ins,WRI,1553,False
Massachusetts’s 9th district,Bill Keating,DEM,255221,True
Massachusetts’s 9th district,Helen Brady,REP,151843,False
Massachusetts’s 9th district,Michael Manley,IND,9580,False
Massachusetts’s 9th district, Write-ins,WRI,927,False
Michigan’s 1st district,Jack Bergman,REP,255347,True
Michigan’s 1st district,Dana Ferguson,DEM,154480,False
Michigan’s 1st district,Ben Boren,LIB,6294,False
Michigan’s 2nd district,Bill Huizenga,REP,237447,True
Michigan’s 2nd district,Bryan Berghoef,DEM,153461,False
Michigan’s 2nd district,Max Riekse,LIB,5268,False
Michigan’s 2nd district,Jean-Michel Creviere,GRN,2627,False
Michigan’s 2nd district,Gerald Van Sickle,TAX,2459,False
Michigan’s 3rd district,Peter Meijer,REP,213430,True
Michigan’s 3rd district,Hillary Scholten,DEM,189039,False
Michigan’s 4th district,John Moolenaar,REP,243371,True
Michigan’s 4th district,Jerry Hilliard,DEM,120831,False
Michigan’s 4th district,David Canny,LIB,5387,False
Michigan’s 4th district,Amy Slepr,GRN,4456,False
Michigan’s 5th district,Daniel Kildee,DEM,197819,True
Michigan’s 5th district,Tim Kelly,REP,151396,False
Michigan’s 5th district,Kathy Goodwin,WCP,8199,False
Michigan’s 5th district,James Harris,LIB,5494,False
Michigan’s 6th district,Fred Upton,REP,211484,True
Michigan’s 6th district,Jon Hoadley,DEM,152099,False
Michigan’s 6th district,Jeff DePoy,LIB,10399,False
Michigan’s 6th district,John Lawrence,GRN,4439,False
Michigan’s 7th district,Tim Walberg,REP,227514,True
Michigan’s 7th district,Gretchen Driskell,DEM,159746,False
Michigan’s 8th district,Elissa Slotkin,DEM,217928,True
Michigan’s 8th district,Paul Junge,REP,202517,False
Michigan’s 8th district,Joe Hartman,LIB,7896,False
Michigan’s 9th district,Andy Levin,DEM,231829,True
Michigan’s 9th district,Charles Langworthy,REP,153677,False
Michigan’s 9th district,Andrea Kirby,WCP,9030,False
Michigan’s 9th district,Mike Saliba,LIB,6549,False
Michigan’s 10th district,Lisa McClain,REP,271417,True
Michigan’s 10th district,Kimberly Bizon,DEM,138156,False
Michigan’s 11th district,Haley Stevens,DEM,226076,True
Michigan’s 11th district,Eric Esshaki,REP,215362,False
Michigan’s 11th district,Leonard Schwartz,LIB,8934,False
Michigan’s 12th district,Debbie Dingell,DEM,254988,True
Michigan’s 12th district,Jeff Jones,REP,117730,False
Michigan’s 12th district,Gary Walkowicz,WCP,11146,False
Michigan’s 13th district,Rashida Tlaib,DEM,220307,True
Michigan’s 13th district,David Dudenhoefer,REP,53169,False
Michigan’s 13th district,Sam Johnson,WCP,5247,False
Michigan’s 13th district,Etta Wilcoxon,GRN,2071,False
Michigan’s 13th district,Articia Bomer,TAX,1951,False
Michigan’s 14th district,Brenda Lawrence,DEM,264205,True
Michigan’s 14th district,R. Vance Patrick,REP,62486,False
Michigan’s 14th district,Lisa Gioia,LIB,3687,False
Michigan’s 14th district,Philip Kolody,WCP,2476,False
Michigan’s 14th district,Clyde Shabazz,GRN,1942,False
Minnesota’s 1st district,Jim Hagedorn,REP,179150,True
Minnesota’s 1st district,Dan Feehan,DEM,167877,False
Minnesota’s 1st district,Bill Rood,GRP,21441,False
Minnesota’s 2nd district,Angie Craig,DEM,203980,True
Minnesota’s 2nd district,Tyler Kistner,REP,194414,False
Minnesota’s 2nd district,Adam Weeks,LMN,24676,False
Minnesota’s 3rd district,Dean Phillips,DEM,243984,True
Minnesota’s 3rd district,Kendall Qualls,REP,194596,False
Minnesota’s 4th district,Betty McCollum,DEM,243289,True
Minnesota’s 4th district,Gene Rechtzigel,REP,111641,False
Minnesota’s 4th district,Susan Pendergast Sindt,LMN,29327,False
Minnesota’s 5th district,Ilhan Omar,DEM,255920,True
Minnesota’s 5th district,Lacy Johnson,REP,102878,False
Minnesota’s 5th district,Michael Moore,LMN,37978,False
Minnesota’s 6th district,Tom Emmer,REP,271153,True
Minnesota’s 6th district,Tawnja Zahradka,DEM,142469,False
Minnesota’s 7th district,Michelle Fischbach,REP,187472,True
Minnesota’s 7th district,Collin Peterson,DEM,141141,False
Minnesota’s 7th district,Slater Johnson,LMN,17154,False
Minnesota’s 7th district,Rae Hart Anderson,GRP,6271,False
Minnesota’s 8th district,Pete Stauber,REP,223363,True
Minnesota’s 8th district,Quinn Nystrom,DEM,147581,False
Minnesota’s 8th district,Judith Schwartzbacker,GRP,22114,False
Mississippi’s 1st district,Trent Kelly,REP,215101,True
Mississippi’s 1st district,Antonia Eliason,DEM,94588,False
Mississippi’s 1st district, Write-ins,WRI,315,False
Mississippi’s 2nd district,Bennie Thompson,DEM,161713,True
Mississippi’s 2nd district,Brian Flowers,REP,90945,False
Mississippi’s 2nd district, Write-ins,WRI,215,False
Mississippi’s 3rd district,Michael Guest,REP,192780,True
Mississippi’s 3rd district,Dorothy Benford,DEM,103434,False
Mississippi’s 4th district,Steven Palazzo,REP,226876,True
Mississippi’s 4th district, Write-ins,WRI,9294,False
Missouri’s 1st district,Cori Bush,DEM,245520,True
Missouri’s 1st district,Anthony Rogers,REP,59156,False
Missouri’s 1st district,Alex Furman,LIB,6681,False
Missouri’s 2nd district,Ann Wagner,REP,230617,True
Missouri’s 2nd district,Jill Schupp,DEM,201520,False
Missouri’s 2nd district,Martin Schulte,LIB,11558,False
Missouri’s 2nd district, Write-ins,WRI,67,False
Missouri’s 3rd district,Blaine Luetkemeyer,REP,282424,True
Missouri’s 3rd district,Megan Rezabek,DEM,116109,False
Missouri’s 3rd district,Leonard Steinman,LIB,8328,False
Missouri’s 4th district,Vicky Hartzler,REP,245064,True
Missouri’s 4th district,Lindsey Simmons,DEM,107528,False
Missouri’s 4th district,Steven Koonse,LIB,9934,False
Missouri’s 5th district,Emanuel Cleaver,DEM,205631,True
Missouri’s 5th district,Ryan Derks,REP,135396,False
Missouri’s 5th district,Robin Dominick,LIB,9211,False
Missouri’s 6th district,Sam Graves,REP,258904,True
Missouri’s 6th district,Gena Ross,DEM,120753,False
Missouri’s 6th district,Jim Higgins,LIB,8152,False
Missouri’s 7th district,Billy Long,REP,251937,True
Missouri’s 7th district,Teresa Montseny,DEM,96501,False
Missouri’s 7th district,Kevin Craig,LIB,15401,False
Missouri’s 8th district,Jason Smith,REP,253646,True
Missouri’s 8th district,Kathy Ellis,DEM,70504,False
Missouri’s 8th district,Tom Schmitz,LIB,5846,False
Montana at large,Matt Rosendale,REP,335214,True
Montana at large,Kathleen Williams,DEM,263335,False
Nebraska’s 1st district,Jeff Fortenberry,REP,186777,True
Nebraska’s 1st district,Kate Bolz,DEM,118125,False
Nebraska’s 1st district,Dennis Grace,LIB,8739,False
Nebraska’s 2nd district,Don Bacon,REP,168318,True
Nebraska’s 2nd district,Kara Eastman,DEM,152162,False
Nebraska’s 2nd district,Tyler Schaeffer,LIB,9905,False
Nebraska’s 3rd district,Adrian Smith,REP,224768,True
Nebraska’s 3rd district,Mark Elworth,DEM,50604,False
Nebraska’s 3rd district,Dustin Hobbs,LIB,10895,False
Nevada’s 1st district,Dina Titus,DEM,128987,True
Nevada’s 1st district,Joyce Bentley,REP,68741,False
Nevada’s 1st district,Kamau Bakari,IAP,5578,False
Nevada’s 1st district,Robert Strawder,LIB,4286,False
Nevada’s 2nd district,Mark Amodei,REP,211756,True
Nevada’s 2nd district,Patricia Ackerman,DEM,153156,False
Nevada’s 2nd district,Janine Hansen,IAP,10502,False
Nevada’s 3rd district,Susie Lee,DEM,194449,True
Nevada’s 3rd district,Dan Rodimer,REP,179408,False
Nevada’s 3rd district,Steve Brown,LIB,11389,False
Nevada’s 3rd district,Ed Bridges,IAP,9822,False
Nevada’s 4th district,Steven Horsford,DEM,160294,True
Nevada’s 4th district,Jim Marchant,REP,144514,False
Nevada’s 4th district,Jonathan Esteban,LIB,7226,False
Nevada’s 4th district,Barry Rubinson,IAP,3386,False
New Hampshire’s 1st district,Chris Pappas,DEM,206070,True
New Hampshire’s 1st district,Matt Mowers,REP,184922,False
New Hampshire’s 1st district,Zachary Dumont,LIB,9616,False
New Hampshire’s 1st district, Write-ins,WRI,83,False
New Hampshire’s 2nd district,Ann Kuster,DEM,207958,True
New Hampshire’s 2nd district,Steve Negron,REP,165496,False
New Hampshire’s 2nd district,Andrew Olding,LIB,9749,False
New Hampshire’s 2nd district, Write-ins,WRI,53,False
New Jersey’s 1st district,Donald Norcross,DEM,202543,True
New Jersey’s 1st district,Claire Gustafson,REP,118683,False
New Jersey’s 2nd district,Jeff Van Drew,REP,176838,True
New Jersey’s 2nd district,Amy Kennedy,DEM,156742,False
New Jersey’s 2nd district,Jenna Harvey,IND,3404,False
New Jersey’s 2nd district,Jesse Ehrnstrom,LIB,2581,False
New Jersey’s 3rd district,Andrew Kim,DEM,215290,True
New Jersey’s 3rd district,David Richter,REP,183443,False
New Jersey’s 3rd district,Martin Weber,IND,3432,False
New Jersey’s 3rd district,Robert Shapiro,IND,1677,False
New Jersey’s 4th district,Chris Smith,REP,235435,True
New Jersey’s 4th district,Stephanie Schmid,DEM,150996,False
New Jersey’s 4th district,Hank Schroeder,IND,2918,False
New Jersey’s 4th district,Michael Rufo,LIB,2243,False
New Jersey’s 4th district,Andrew Pachuta,IND,1850,False
New Jersey’s 5th district,Joshua Gottheimer,DEM,209630,True
New Jersey’s 5th district,Frank Pallotta,REP,177982,False
New Jersey’s 5th district,Louis Vellucci,IND,4564,False
New Jersey’s 6th district,Frank Pallone,DEM,170739,True
New Jersey’s 6th district,Christian Onuoha,REP,108121,False
New Jersey’s 7th district,Tom Malinowski,DEM,194289,True
New Jersey’s 7th district,Thomas Kean,REP,182611,False
New Jersey’s 8th district,Albio Sires,DEM,131637,True
New Jersey’s 8th district,Jason Mushnick,REP,38244,False
New Jersey’s 8th district,Dan Delaney,LIB,2233,False
New Jersey’s 9th district,Bill Pascrell,DEM,173632,True
New Jersey’s 9th district,Billy Prempeh,REP,83165,False
New Jersey’s 9th district,Chris Auriemma,IND,5898,False
New Jersey’s 10th district,Donald Payne,DEM,197012,True
New Jersey’s 10th district,Jennifer Zinone,REP,29515,False
New Jersey’s 10th district,Akil Khalfani,IND,2786,False
New Jersey’s 10th district,Khaliah Fitchette,IND,2583,False
New Jersey’s 10th district,John Mirrione,LIB,838,False
New Jersey’s 11th district,Mikie Sherrill,DEM,197369,True
New Jersey’s 11th district,Rosemary Becchi,REP,162085,False
New Jersey’s 12th district,Bonnie Watson Coleman,DEM,189854,True
New Jersey’s 12th district,Mark Razzoli,REP,87421,False
New Jersey’s 12th district,Edward Forchion,IND,3040,False
New Jersey’s 12th district,Kenneth Cody,IND,1317,False
New Mexico’s 1st district,Debra Haaland,DEM,185336,True
New Mexico’s 1st district,Michelle Garcia Holmes,REP,133789,False
New Mexico’s 2nd district,Yvette Herrell,REP,141227,True
New Mexico’s 2nd district,Xochitl Torres Small,DEM,120766,False
New Mexico’s 2nd district, Write-ins,WRI,145,False
New Mexico’s 3rd district,Teresa Leger Fernandez,DEM,174360,True
New Mexico’s 3rd district,Alexis Johnson,REP,126691,False
