date,duration,item,month,network,network_type
22/10/14 06:58,34.429,data,2014-11,data,data
22/10/14 12:04,7,call,2014-11,Three,mobile
23/10/14 06:58,34.429,data,2014-11,data,data
23/10/14 08:34,1940,call,2014-11,landline,landline
23/10/14 09:45,281,call,2014-11,Meteor,mobile
23/10/14 10:46,1,sms,2014-11,Tesco,mobile
23/10/14 10:54,1,sms,2014-11,Vodafone,mobile
23/10/14 11:17,1,sms,2014-11,Vodafone,mobile
23/10/14 11:25,24,call,2014-11,Vodafone,mobile
23/10/14 17:48,263,call,2014-11,Meteor,mobile
24/10/14 06:58,34.429,data,2014-11,data,data
24/10/14 13:35,1,sms,2014-11,Vodafone,mobile
24/10/14 13:39,1,sms,2014-11,Vodafone,mobile
24/10/14 13:39,1,sms,2014-11,Vodafone,mobile
24/10/14 13:47,1,sms,2014-11,Vodafone,mobile
24/10/14 13:48,1,sms,2014-11,Vodafone,mobile
24/10/14 13:50,1,sms,2014-11,Vodafone,mobile
24/10/14 13:57,1,sms,2014-11,Vodafone,mobile
24/10/14 13:57,1,sms,2014-11,Vodafone,mobile
24/10/14 14:20,1,sms,2014-11,Three,mobile
24/10/14 14:27,1,sms,2014-11,Vodafone,mobile
24/10/14 18:29,1,sms,2014-11,Vodafone,mobile
24/10/14 18:33,387,call,2014-11,Tesco,mobile
24/10/14 18:40,1,sms,2014-11,Vodafone,mobile
25/10/14 06:58,34.429,data,2014-11,data,data
26/10/14 06:58,34.429,data,2014-11,data,data
26/10/14 14:51,4,call,2014-11,Three,mobile
26/10/14 21:10,637,call,2014-11,Tesco,mobile
26/10/14 21:22,28,call,2014-11,Meteor,mobile
26/10/14 21:38,62,call,2014-11,Three,mobile
27/10/14 01:45,3,call,2014-11,Tesco,mobile
27/10/14 06:58,34.429,data,2014-11,data,data
27/10/14 11:03,146,call,2014-11,Three,mobile
27/10/14 16:30,48,call,2014-11,Three,mobile
27/10/14 19:20,862,call,2014-11,Three,mobile
27/10/14 19:55,25,call,2014-11,Three,mobile
28/10/14 06:58,34.429,data,2014-11,data,data
28/10/14 16:39,833,call,2014-11,landline,landline
28/10/14 20:44,206,call,2014-11,Tesco,mobile
29/10/14 06:58,34.429,data,2014-11,data,data
29/10/14 12:56,442,call,2014-11,Vodafone,mobile
30/10/14 06:58,34.429,data,2014-11,data,data
30/10/14 14:31,463,call,2014-11,Vodafone,mobile
30/10/14 19:48,4,call,2014-11,Vodafone,mobile
30/10/14 20:02,4,call,2014-11,Meteor,mobile
31/10/14 06:58,34.429,data,2014-11,data,data
31/10/14 07:46,1,sms,2014-11,Vodafone,mobile
31/10/14 08:00,1,sms,2014-11,Vodafone,mobile
31/10/14 13:26,5,call,2014-11,Three,mobile
31/10/14 13:27,1234,call,2014-11,Tesco,mobile
31/10/14 14:10,43,call,2014-11,Three,mobile
31/10/14 18:29,1,sms,2014-11,Three,mobile
31/10/14 18:29,1,sms,2014-11,Three,mobile
31/10/14 18:30,483,call,2014-11,Meteor,mobile
31/10/14 18:39,3,call,2014-11,Tesco,mobile
01/11/14 06:58,34.429,data,2014-11,data,data
01/11/14 15:13,955,call,2014-11,Vodafone,mobile
01/11/14 17:54,4,call,2014-11,Tesco,mobile
02/11/14 06:58,34.429,data,2014-11,data,data
02/11/14 14:34,459,call,2014-11,Three,mobile
02/11/14 15:44,1023,call,2014-11,Three,mobile
02/11/14 19:16,1025,call,2014-11,Three,mobile
02/11/14 21:42,169,call,2014-11,Meteor,mobile
02/11/14 22:55,8,call,2014-11,Meteor,mobile
03/11/14 06:58,34.429,data,2014-11,data,data
03/11/14 08:40,1,sms,2014-11,special,special
03/11/14 10:30,135,call,2014-11,Three,mobile
03/11/14 10:37,7,call,2014-11,Vodafone,mobile
03/11/14 10:47,37,call,2014-11,Vodafone,mobile
03/11/14 14:04,1,sms,2014-11,Vodafone,mobile
03/11/14 15:27,5,call,2014-11,Three,mobile
03/11/14 16:07,123,call,2014-11,landline,landline
03/11/14 16:10,4,call,2014-11,Tesco,mobile
03/11/14 17:03,90,call,2014-11,Vodafone,mobile
03/11/14 22:36,3,call,2014-11,Tesco,mobile
04/11/14 06:58,34.429,data,2014-11,data,data
04/11/14 11:58,1,sms,2014-11,Vodafone,mobile
04/11/14 11:58,1,sms,2014-11,Vodafone,mobile
04/11/14 13:12,1,sms,2014-11,Three,mobile
04/11/14 14:05,1,sms,2014-11,Three,mobile
04/11/14 14:26,1,call,2014-11,voicemail,voicemail
04/11/14 14:26,98,call,2014-11,voicemail,voicemail
04/11/14 16:13,1,sms,2014-11,Three,mobile
04/11/14 16:19,8,call,2014-11,Meteor,mobile
04/11/14 16:22,9,call,2014-11,Meteor,mobile
04/11/14 16:24,4,call,2014-11,Meteor,mobile
04/11/14 16:34,1,sms,2014-11,Three,mobile
04/11/14 16:39,1,sms,2014-11,Meteor,mobile
04/11/14 16:41,1,sms,2014-11,Meteor,mobile
04/11/14 16:45,1,sms,2014-11,Three,mobile
04/11/14 18:26,4,call,2014-11,Tesco,mobile
04/11/14 20:15,11,call,2014-11,Three,mobile
04/11/14 20:15,1,sms,2014-11,Meteor,mobile
04/11/14 20:15,1,sms,2014-11,Meteor,mobile
04/11/14 20:16,166,call,2014-11,Meteor,mobile
05/11/14 06:58,34.429,data,2014-11,data,data
05/11/14 10:59,55,call,2014-11,Three,mobile
05/11/14 11:30,1,sms,2014-11,Vodafone,mobile
05/11/14 11:43,1,sms,2014-11,Vodafone,mobile
05/11/14 12:43,1,sms,2014-11,Vodafone,mobile
05/11/14 19:35,29,call,2014-11,Vodafone,mobile
06/11/14 01:02,1,sms,2014-11,Vodafone,mobile
06/11/14 01:02,1,sms,2014-11,Vodafone,mobile
06/11/14 06:58,34.429,data,2014-11,data,data
06/11/14 09:04,1,sms,2014-11,Vodafone,mobile
06/11/14 09:05,1,sms,2014-11,Vodafone,mobile
06/11/14 09:47,150,call,2014-11,Vodafone,mobile
06/11/14 09:50,89,call,2014-11,Three,mobile
06/11/14 09:52,75,call,2014-11,Meteor,mobile
06/11/14 09:54,5,call,2014-11,Three,mobile
06/11/14 11:47,8,call,2014-11,Vodafone,mobile
06/11/14 14:52,1,sms,2014-11,Vodafone,mobile
06/11/14 18:02,279,call,2014-11,Tesco,mobile
06/11/14 18:07,452,call,2014-11,Vodafone,mobile
07/11/14 06:58,34.429,data,2014-11,data,data
07/11/14 09:33,1205,call,2014-11,Vodafone,mobile
07/11/14 17:51,218,call,2014-11,Three,mobile
07/11/14 21:04,1,sms,2014-11,Vodafone,mobile
07/11/14 21:10,1,sms,2014-11,Vodafone,mobile
07/11/14 21:12,1,sms,2014-11,Vodafone,mobile
07/11/14 21:12,1,sms,2014-11,Vodafone,mobile
07/11/14 21:19,1,sms,2014-11,Vodafone,mobile
07/11/14 21:25,1,sms,2014-11,Vodafone,mobile
07/11/14 21:31,1,sms,2014-11,Vodafone,mobile
07/11/14 21:31,1,sms,2014-11,Vodafone,mobile
07/11/14 22:04,1,sms,2014-11,Vodafone,mobile
08/11/14 06:58,34.429,data,2014-11,data,data
08/11/14 16:33,41,call,2014-11,Three,mobile
08/11/14 18:18,6,call,2014-11,Tesco,mobile
09/11/14 01:41,1,sms,2014-11,Three,mobile
09/11/14 01:49,1,sms,2014-11,Three,mobile
09/11/14 01:50,1,sms,2014-11,Three,mobile
09/11/14 02:04,1,sms,2014-11,Three,mobile
09/11/14 06:58,34.429,data,2014-11,data,data
09/11/14 19:21,14,call,2014-11,Tesco,mobile
09/11/14 22:09,3,call,2014-11,Three,mobile
10/11/14 06:58,34.429,data,2014-11,data,data
10/11/14 09:29,178,call,2014-11,Vodafone,mobile
10/11/14 11:36,412,call,2014-11,Three,mobile
10/11/14 14:59,13,call,2014-11,Three,mobile
10/11/14 15:15,459,call,2014-11,Three,mobile
10/11/14 18:19,1,sms,2014-11,Three,mobile
10/11/14 18:34,1,sms,2014-11,Three,mobile
11/11/14 06:58,34.429,data,2014-11,data,data
11/11/14 09:28,3,call,2014-11,Vodafone,mobile
11/11/14 11:32,3,call,2014-11,Vodafone,mobile
11/11/14 11:37,1,sms,2014-11,Three,mobile
11/11/14 12:39,36,call,2014-11,Three,mobile
11/11/14 14:13,1,sms,2014-11,Meteor,mobile
11/11/14 14:20,1,sms,2014-11,Meteor,mobile
11/11/14 14:41,1,sms,2014-11,Meteor,mobile
11/11/14 19:56,1,sms,2014-11,Three,mobile
12/11/14 06:58,34.429,data,2014-11,data,data
12/11/14 10:48,1,sms,2014-11,Vodafone,mobile
12/11/14 10:48,1,sms,2014-11,Three,mobile
12/11/14 10:48,1,sms,2014-11,Vodafone,mobile
12/11/14 10:49,1,sms,2014-11,Three,mobile
12/11/14 12:04,1,sms,2014-11,Three,mobile
12/11/14 13:49,1,sms,2014-11,Vodafone,mobile
12/11/14 16:16,1,sms,2014-11,Vodafone,mobile
12/11/14 16:19,4,call,2014-11,landline,landline
12/11/14 16:42,1,sms,2014-11,Vodafone,mobile
12/11/14 16:42,1,sms,2014-11,Vodafone,mobile
12/11/14 17:14,1,sms,2014-11,Vodafone,mobile
12/11/14 17:14,1,sms,2014-11,Vodafone,mobile
12/11/14 17:49,1,sms,2014-11,Three,mobile
12/11/14 17:56,145,call,2014-11,Three,mobile
12/11/14 17:59,1001,call,2014-11,Three,mobile
12/11/14 19:01,7,call,2014-11,Vodafone,mobile
12/11/14 19:18,1,sms,2014-11,Three,mobile
12/11/14 19:18,1,sms,2014-11,Three,mobile
12/11/14 19:20,1,sms,2014-11,Vodafone,mobile
13/11/14 06:58,34.429,data,2014-12,data,data
13/11/14 22:30,1,sms,2014-11,Three,mobile
13/11/14 22:31,1,sms,2014-11,Vodafone,mobile
14/11/14 06:58,34.429,data,2014-12,data,data
14/11/14 17:24,124,call,2014-12,voicemail,voicemail
14/11/14 17:28,1,sms,2014-12,Vodafone,mobile
15/11/14 06:58,34.429,data,2014-12,data,data
16/11/14 06:58,34.429,data,2014-12,data,data
16/11/14 14:05,4,call,2014-12,Vodafone,mobile
17/11/14 06:58,34.429,data,2014-12,data,data
18/11/14 06:58,34.429,data,2014-12,data,data
18/11/14 08:22,1,sms,2014-12,Vodafone,mobile
18/11/14 08:29,1,sms,2014-12,Vodafone,mobile
18/11/14 08:29,1,sms,2014-12,Vodafone,mobile
18/11/14 08:33,1,sms,2014-12,Vodafone,mobile
18/11/14 08:34,1,sms,2014-12,Vodafone,mobile
18/11/14 08:34,1,sms,2014-12,Vodafone,mobile
18/11/14 08:39,1,sms,2014-12,Vodafone,mobile
18/11/14 08:42,1,sms,2014-12,Vodafone,mobile
18/11/14 08:45,1,sms,2014-12,Vodafone,mobile
18/11/14 09:35,1,sms,2014-12,Vodafone,mobile
19/11/14 06:58,34.429,data,2014-12,data,data
19/11/14 14:05,128,call,2014-12,Tesco,mobile
19/11/14 14:11,249,call,2014-12,Meteor,mobile
19/11/14 18:56,2120,call,2014-12,Three,mobile
19/11/14 22:48,1,sms,2014-12,Vodafone,mobile
20/11/14 06:58,34.429,data,2014-12,data,data
20/11/14 14:57,71,call,2014-12,voicemail,voicemail
20/11/14 14:59,56,call,2014-12,Three,mobile
20/11/14 16:22,1,sms,2014-12,Meteor,mobile
20/11/14 19:08,9,call,2014-12,Three,mobile
20/11/14 21:03,3,call,2014-12,Three,mobile
20/11/14 21:03,3,call,2014-12,Three,mobile
21/11/14 00:17,17,call,2014-12,Tesco,mobile
21/11/14 01:13,1,sms,2014-12,Vodafone,mobile
21/11/14 06:58,34.429,data,2014-12,data,data
21/11/14 10:29,1,sms,2014-12,Meteor,mobile
21/11/14 10:29,1,sms,2014-12,Meteor,mobile
21/11/14 10:30,1,sms,2014-12,Meteor,mobile
21/11/14 11:29,8,call,2014-12,landline,landline
21/11/14 11:31,982,call,2014-12,Vodafone,mobile
21/11/14 11:49,11,call,2014-12,landline,landline
21/11/14 11:50,34,call,2014-12,Three,mobile
21/11/14 11:50,8,call,2014-12,Three,mobile
21/11/14 13:31,600,call,2014-12,Tesco,mobile
21/11/14 18:07,244,call,2014-12,Meteor,mobile
22/11/14 02:10,186,call,2014-12,Tesco,mobile
22/11/14 06:58,34.429,data,2014-12,data,data
22/11/14 12:02,75,call,2014-12,Meteor,mobile
22/11/14 12:10,90,call,2014-12,Vodafone,mobile
22/11/14 14:30,13,call,2014-12,Vodafone,mobile
22/11/14 14:33,20,call,2014-12,Vodafone,mobile
22/11/14 14:34,2,call,2014-12,Vodafone,mobile
23/11/14 06:58,34.429,data,2014-12,data,data
23/11/14 13:24,208,call,2014-12,Three,mobile
23/11/14 16:10,107,call,2014-12,Three,mobile
23/11/14 17:36,55,call,2014-12,Three,mobile
23/11/14 17:53,5,call,2014-12,Three,mobile
23/11/14 17:53,20,call,2014-12,Three,mobile
23/11/14 17:54,2,call,2014-12,Three,mobile
24/11/14 06:58,34.429,data,2014-12,data,data
24/11/14 09:40,1,sms,2014-12,Three,mobile
24/11/14 12:24,4,call,2014-12,Meteor,mobile
25/11/14 06:58,34.429,data,2014-12,data,data
25/11/14 11:25,21,call,2014-12,Vodafone,mobile
25/11/14 16:09,1,sms,2014-12,Meteor,mobile
25/11/14 16:19,1,sms,2014-12,Meteor,mobile
25/11/14 17:10,114,call,2014-12,Meteor,mobile
25/11/14 18:06,1,sms,2014-12,Meteor,mobile
25/11/14 18:18,81,call,2014-12,Meteor,mobile
25/11/14 18:47,174,call,2014-12,voicemail,voicemail
25/11/14 19:10,71,call,2014-12,Tesco,mobile
25/11/14 19:20,40,call,2014-12,Tesco,mobile
25/11/14 19:21,29,call,2014-12,voicemail,voicemail
25/11/14 19:25,37,call,2014-12,Tesco,mobile
25/11/14 19:26,63,call,2014-12,voicemail,voicemail
25/11/14 20:39,1,sms,2014-12,Three,mobile
26/11/14 06:58,34.429,data,2014-12,data,data
26/11/14 07:03,14,call,2014-12,Meteor,mobile
26/11/14 07:15,1,sms,2014-12,Vodafone,mobile
26/11/14 07:57,1,sms,2014-12,Vodafone,mobile
26/11/14 07:59,4,call,2014-12,Three,mobile
26/11/14 08:00,1,sms,2014-12,Vodafone,mobile
26/11/14 08:13,10,call,2014-12,Three,mobile
26/11/14 08:16,3,call,2014-12,Three,mobile
26/11/14 08:26,3,call,2014-12,Three,mobile
26/11/14 08:27,3,call,2014-12,Three,mobile
26/11/14 09:01,1,sms,2014-12,Meteor,mobile
26/11/14 11:53,1,sms,2014-12,Meteor,mobile
26/11/14 11:54,1,sms,2014-12,Meteor,mobile
26/11/14 11:54,1,sms,2014-12,Meteor,mobile
26/11/14 11:56,1,sms,2014-12,Meteor,mobile
26/11/14 17:48,3,call,2014-12,Three,mobile
27/11/14 06:58,34.429,data,2014-12,data,data
27/11/14 16:53,1116,call,2014-12,Three,mobile
27/11/14 18:38,1,sms,2014-12,Three,mobile
28/11/14 06:58,34.429,data,2014-12,data,data
28/11/14 13:05,1,sms,2014-12,Three,mobile
28/11/14 13:12,1,sms,2014-12,Three,mobile
28/11/14 19:03,143,call,2014-12,Tesco,mobile
29/11/14 06:58,34.429,data,2014-12,data,data
29/11/14 14:44,151,call,2014-12,Three,mobile
30/11/14 06:58,34.429,data,2014-12,data,data
30/11/14 11:45,1,sms,2014-12,Three,mobile
30/11/14 11:48,1,sms,2014-12,Three,mobile
30/11/14 11:48,1,sms,2014-12,Three,mobile
30/11/14 12:06,1,sms,2014-12,Three,mobile
30/11/14 14:24,1,sms,2014-12,Three,mobile
30/11/14 14:44,1,sms,2014-12,Three,mobile
30/11/14 14:51,4,call,2014-12,Three,mobile
01/12/14 06:58,34.429,data,2014-12,data,data
01/12/14 12:51,1,sms,2014-12,Three,mobile
01/12/14 12:59,1,sms,2014-12,Three,mobile
02/12/14 06:58,34.429,data,2014-12,data,data
02/12/14 11:40,526,call,2014-12,Meteor,mobile
03/12/14 06:58,34.429,data,2014-12,data,data
03/12/14 15:01,844,call,2014-12,landline,landline
03/12/14 18:10,383,call,2014-12,Tesco,mobile
04/12/14 06:58,34.429,data,2014-12,data,data
04/12/14 13:52,6,call,2014-12,Vodafone,mobile
04/12/14 15:34,37,call,2014-12,Three,mobile
04/12/14 16:02,15,call,2014-12,Meteor,mobile
04/12/14 23:41,71,call,2014-12,voicemail,voicemail
05/12/14 06:58,34.429,data,2014-12,data,data
05/12/14 16:49,465,call,2014-12,landline,landline
05/12/14 18:17,153,call,2014-12,Tesco,mobile
05/12/14 18:25,826,call,2014-12,Three,mobile
06/12/14 06:58,34.429,data,2014-12,data,data
06/12/14 11:33,442,call,2014-12,Meteor,mobile
06/12/14 18:25,1,sms,2014-12,Vodafone,mobile
06/12/14 18:26,1,sms,2014-12,Tesco,mobile
06/12/14 18:26,1,sms,2014-12,Vodafone,mobile
06/12/14 18:27,1,sms,2014-12,world,world
06/12/14 18:28,1,sms,2014-12,world,world
06/12/14 19:40,191,call,2014-12,Meteor,mobile
07/12/14 06:58,34.429,data,2014-12,data,data
07/12/14 13:03,99,call,2014-12,voicemail,voicemail
07/12/14 13:45,428,call,2014-12,Three,mobile
07/12/14 14:39,3,call,2014-12,Three,mobile
07/12/14 20:23,727,call,2014-12,Three,mobile
07/12/14 20:36,33,call,2014-12,Tesco,mobile
07/12/14 20:37,120,call,2014-12,Three,mobile
07/12/14 23:22,1,sms,2014-12,world,world
07/12/14 23:22,1,sms,2014-12,world,world
08/12/14 06:58,34.429,data,2014-12,data,data
08/12/14 17:38,55,call,2014-12,Meteor,mobile
09/12/14 06:58,34.429,data,2014-12,data,data
09/12/14 18:32,28,call,2014-12,Tesco,mobile
10/12/14 06:58,34.429,data,2014-12,data,data
11/12/14 06:58,34.429,data,2014-12,data,data
12/12/14 06:58,34.429,data,2014-12,data,data
12/12/14 11:00,112,call,2014-12,Vodafone,mobile
12/12/14 18:14,52,call,2014-12,Vodafone,mobile
13/12/14 06:58,34.429,data,2015-01,data,data
13/12/14 14:56,223,call,2014-12,Three,mobile
14/12/14 02:05,14,call,2014-12,landline,landline
14/12/14 02:07,8,call,2014-12,landline,landline
14/12/14 02:09,74,call,2014-12,landline,landline
14/12/14 06:58,34.429,data,2015-01,data,data
14/12/14 15:28,59,call,2014-12,voicemail,voicemail
14/12/14 19:54,25,call,2014-12,Three,mobile
15/12/14 06:58,34.429,data,2015-01,data,data
15/12/14 19:56,1,sms,2015-01,Three,mobile
15/12/14 19:58,1,sms,2015-01,Three,mobile
15/12/14 20:03,4,call,2015-01,Three,mobile
15/12/14 20:10,1,sms,2015-01,Vodafone,mobile
15/12/14 20:10,1,sms,2015-01,Three,mobile
15/12/14 23:12,1,sms,2015-01,Three,mobile
16/12/14 06:58,34.429,data,2015-01,data,data
17/12/14 06:58,34.429,data,2015-01,data,data
17/12/14 18:08,1859,call,2015-01,Vodafone,mobile
17/12/14 23:26,1,sms,2015-01,Vodafone,mobile
18/12/14 06:58,34.429,data,2015-01,data,data
18/12/14 12:36,61,call,2015-01,Three,mobile
18/12/14 15:46,268,call,2015-01,Meteor,mobile
18/12/14 15:57,192,call,2015-01,Meteor,mobile
18/12/14 16:10,14,call,2015-01,Meteor,mobile
18/12/14 17:54,17,call,2015-01,Three,mobile
18/12/14 19:05,46,call,2015-01,Tesco,mobile
18/12/14 21:58,4,call,2015-01,Meteor,mobile
18/12/14 21:59,4,call,2015-01,Meteor,mobile
19/12/14 06:58,34.429,data,2015-01,data,data
19/12/14 08:57,1,sms,2015-01,Vodafone,mobile
19/12/14 10:14,41,call,2015-01,Three,mobile
19/12/14 12:40,3,call,2015-01,Three,mobile
19/12/14 12:41,217,call,2015-01,Tesco,mobile
19/12/14 12:41,18,call,2015-01,Three,mobile
19/12/14 14:48,58,call,2015-01,Meteor,mobile
19/12/14 16:49,48,call,2015-01,Tesco,mobile
19/12/14 16:51,543,call,2015-01,Tesco,mobile
19/12/14 17:00,131,call,2015-01,Three,mobile
19/12/14 18:44,1,sms,2015-01,Vodafone,mobile
20/12/14 06:58,34.429,data,2015-01,data,data
20/12/14 14:39,1,sms,2015-01,Tesco,mobile
20/12/14 15:20,1,sms,2015-01,Tesco,mobile
20/12/14 15:53,553,call,2015-01,Meteor,mobile
20/12/14 16:09,1,sms,2015-01,Tesco,mobile
21/12/14 00:05,54,call,2015-01,Meteor,mobile
21/12/14 06:58,34.429,data,2015-01,data,data
22/12/14 06:58,34.429,data,2015-01,data,data
22/12/14 10:42,489,call,2015-01,Tesco,mobile
22/12/14 11:22,1,sms,2015-01,Vodafone,mobile
22/12/14 11:22,1,sms,2015-01,Meteor,mobile
22/12/14 13:33,46,call,2015-01,Vodafone,mobile
22/12/14 14:09,1,sms,2015-01,Vodafone,mobile
22/12/14 14:15,47,call,2015-01,Vodafone,mobile
22/12/14 18:03,1,sms,2015-01,Vodafone,mobile
22/12/14 18:03,1,sms,2015-01,Vodafone,mobile
22/12/14 18:03,1,sms,2015-01,Vodafone,mobile
22/12/14 19:10,1,sms,2015-01,Vodafone,mobile
22/12/14 19:12,566,call,2015-01,Tesco,mobile
22/12/14 19:35,1,sms,2015-01,Meteor,mobile
22/12/14 19:36,1,sms,2015-01,Meteor,mobile
22/12/14 23:12,956,call,2015-01,Three,mobile
23/12/14 00:57,55,call,2015-01,Tesco,mobile
23/12/14 06:58,34.429,data,2015-01,data,data
23/12/14 09:17,145,call,2015-01,voicemail,voicemail
23/12/14 11:03,40,call,2015-01,landline,landline
23/12/14 12:49,449,call,2015-01,Three,mobile
23/12/14 15:39,1,sms,2015-01,Vodafone,mobile
23/12/14 15:40,37,call,2015-01,landline,landline
23/12/14 15:43,1,sms,2015-01,Vodafone,mobile
23/12/14 19:45,39,call,2015-01,voicemail,voicemail
23/12/14 20:02,28,call,2015-01,landline,landline
23/12/14 21:06,1,sms,2015-01,Vodafone,mobile
24/12/14 06:58,34.429,data,2015-01,data,data
24/12/14 13:22,4,call,2015-01,Three,mobile
24/12/14 13:29,234,call,2015-01,Tesco,mobile
24/12/14 13:56,165,call,2015-01,Three,mobile
24/12/14 13:56,3,call,2015-01,Three,mobile
24/12/14 17:06,1,sms,2015-01,Vodafone,mobile
24/12/14 17:07,37,call,2015-01,Vodafone,mobile
24/12/14 18:44,5,call,2015-01,Meteor,mobile
24/12/14 20:44,4,call,2015-01,Meteor,mobile
24/12/14 23:34,1,sms,2015-01,Three,mobile
25/12/14 06:58,34.429,data,2015-01,data,data
25/12/14 12:27,1,sms,2015-01,Vodafone,mobile
26/12/14 06:58,34.429,data,2015-01,data,data
26/12/14 11:09,101,call,2015-01,voicemail,voicemail
26/12/14 11:48,1,sms,2015-01,Vodafone,mobile
27/12/14 06:58,34.429,data,2015-01,data,data
27/12/14 22:30,1,sms,2015-01,Meteor,mobile
27/12/14 22:30,1,sms,2015-01,Meteor,mobile
27/12/14 22:30,1,sms,2015-01,Meteor,mobile
27/12/14 22:30,1,sms,2015-01,Meteor,mobile
28/12/14 06:58,34.429,data,2015-01,data,data
29/12/14 06:58,34.429,data,2015-01,data,data
29/12/14 12:09,368,call,2015-01,Tesco,mobile
30/12/14 06:58,34.429,data,2015-01,data,data
30/12/14 11:57,1,sms,2015-01,Three,mobile
30/12/14 11:57,1,sms,2015-01,Three,mobile
30/12/14 12:01,1,sms,2015-01,Three,mobile
30/12/14 12:01,1,sms,2015-01,Three,mobile
30/12/14 12:02,1,sms,2015-01,Three,mobile
30/12/14 12:03,1,sms,2015-01,Three,mobile
30/12/14 12:04,1,sms,2015-01,Three,mobile
30/12/14 12:04,1,sms,2015-01,Three,mobile
30/12/14 12:05,1,sms,2015-01,Three,mobile
30/12/14 12:05,1,sms,2015-01,Three,mobile
30/12/14 12:05,1,sms,2015-01,Three,mobile
30/12/14 12:05,1,sms,2015-01,Three,mobile
30/12/14 12:06,1,sms,2015-01,Three,mobile
30/12/14 12:10,1,sms,2015-01,Three,mobile
30/12/14 12:10,1,sms,2015-01,Three,mobile
30/12/14 12:10,1,sms,2015-01,Three,mobile
30/12/14 12:13,1,sms,2015-01,Three,mobile
30/12/14 12:14,1,sms,2015-01,Three,mobile
30/12/14 12:14,1,sms,2015-01,Three,mobile
31/12/14 06:58,34.429,data,2015-01,data,data
31/12/14 13:00,5,call,2015-01,Meteor,mobile
31/12/14 13:03,358,call,2015-01,Meteor,mobile
31/12/14 13:49,526,call,2015-01,landline,landline
31/12/14 23:05,1,sms,2015-01,Vodafone,mobile
31/12/14 23:37,1,sms,2015-01,Vodafone,mobile
31/12/14 23:37,1,sms,2015-01,Vodafone,mobile
31/12/14 23:37,1,sms,2015-01,Vodafone,mobile
01/01/15 06:58,34.429,data,2015-01,data,data
02/01/15 06:58,34.429,data,2015-01,data,data
02/01/15 11:27,640,call,2015-01,Vodafone,mobile
